model,noise_ratio,row_id,correct
llama-3.1-8b-instant,0.0,0,1
llama-3.1-8b-instant,0.0,1,1
llama-3.1-8b-instant,0.0,2,1
llama-3.1-8b-instant,0.0,3,1
llama-3.1-8b-instant,0.0,4,1
llama-3.1-8b-instant,0.0,5,1
llama-3.1-8b-instant,0.0,6,1
llama-3.1-8b-instant,0.0,7,1
llama-3.1-8b-instant,0.0,8,1
llama-3.1-8b-instant,0.0,9,1
llama-3.1-8b-instant,0.0,10,1
llama-3.1-8b-instant,0.0,11,1
llama-3.1-8b-instant,0.0,12,1
llama-3.1-8b-instant,0.0,13,1
llama-3.1-8b-instant,0.0,14,1
llama-3.1-8b-instant,0.0,15,1
llama-3.1-8b-instant,0.0,16,1
llama-3.1-8b-instant,0.0,17,1
llama-3.1-8b-instant,0.0,18,1
llama-3.1-8b-instant,0.0,19,1
llama-3.1-8b-instant,0.0,20,1
llama-3.1-8b-instant,0.0,21,1
llama-3.1-8b-instant,0.0,22,1
llama-3.1-8b-instant,0.0,23,1
llama-3.1-8b-instant,0.0,24,1
llama-3.1-8b-instant,0.0,25,1
llama-3.1-8b-instant,0.0,26,1
llama-3.1-8b-instant,0.0,27,1
llama-3.1-8b-instant,0.0,28,1
llama-3.1-8b-instant,0.0,29,1
llama-3.1-8b-instant,0.2,0,1
llama-3.1-8b-instant,0.2,1,1
llama-3.1-8b-instant,0.2,2,1
llama-3.1-8b-instant,0.2,3,1
llama-3.1-8b-instant,0.2,4,1
llama-3.1-8b-instant,0.2,5,1
llama-3.1-8b-instant,0.2,6,1
llama-3.1-8b-instant,0.2,7,1
llama-3.1-8b-instant,0.2,8,1
llama-3.1-8b-instant,0.2,9,1
llama-3.1-8b-instant,0.2,10,1
llama-3.1-8b-instant,0.2,11,1
llama-3.1-8b-instant,0.2,12,1
llama-3.1-8b-instant,0.2,13,1
llama-3.1-8b-instant,0.2,14,1
llama-3.1-8b-instant,0.2,15,1
llama-3.1-8b-instant,0.2,16,1
llama-3.1-8b-instant,0.2,17,1
llama-3.1-8b-instant,0.2,18,1
llama-3.1-8b-instant,0.2,19,1
llama-3.1-8b-instant,0.2,20,1
llama-3.1-8b-instant,0.2,21,1
llama-3.1-8b-instant,0.2,22,1
llama-3.1-8b-instant,0.2,23,1
llama-3.1-8b-instant,0.2,24,1
llama-3.1-8b-instant,0.2,25,1
llama-3.1-8b-instant,0.2,26,1
llama-3.1-8b-instant,0.2,27,1
llama-3.1-8b-instant,0.2,28,1
llama-3.1-8b-instant,0.2,29,1
llama-3.1-8b-instant,0.4,0,1
llama-3.1-8b-instant,0.4,1,1
llama-3.1-8b-instant,0.4,2,1
llama-3.1-8b-instant,0.4,3,1
llama-3.1-8b-instant,0.4,4,1
llama-3.1-8b-instant,0.4,5,1
llama-3.1-8b-instant,0.4,6,1
llama-3.1-8b-instant,0.4,7,1
llama-3.1-8b-instant,0.4,8,1
llama-3.1-8b-instant,0.4,9,1
llama-3.1-8b-instant,0.4,10,1
llama-3.1-8b-instant,0.4,11,1
llama-3.1-8b-instant,0.4,12,1
llama-3.1-8b-instant,0.4,13,1
llama-3.1-8b-instant,0.4,14,1
llama-3.1-8b-instant,0.4,15,1
llama-3.1-8b-instant,0.4,16,1
llama-3.1-8b-instant,0.4,17,1
llama-3.1-8b-instant,0.4,18,1
llama-3.1-8b-instant,0.4,19,1
llama-3.1-8b-instant,0.4,20,1
llama-3.1-8b-instant,0.4,21,1
llama-3.1-8b-instant,0.4,22,1
llama-3.1-8b-instant,0.4,23,1
llama-3.1-8b-instant,0.4,24,1
llama-3.1-8b-instant,0.4,25,1
llama-3.1-8b-instant,0.4,26,1
llama-3.1-8b-instant,0.4,27,1
llama-3.1-8b-instant,0.4,28,1
llama-3.1-8b-instant,0.4,29,1
llama-3.1-8b-instant,0.6,0,1
llama-3.1-8b-instant,0.6,1,1
llama-3.1-8b-instant,0.6,2,1
llama-3.1-8b-instant,0.6,3,1
llama-3.1-8b-instant,0.6,4,1
llama-3.1-8b-instant,0.6,5,1
llama-3.1-8b-instant,0.6,6,1
llama-3.1-8b-instant,0.6,7,1
llama-3.1-8b-instant,0.6,8,1
llama-3.1-8b-instant,0.6,9,1
llama-3.1-8b-instant,0.6,10,1
llama-3.1-8b-instant,0.6,11,1
llama-3.1-8b-instant,0.6,12,1
llama-3.1-8b-instant,0.6,13,1
llama-3.1-8b-instant,0.6,14,1
llama-3.1-8b-instant,0.6,15,1
llama-3.1-8b-instant,0.6,16,1
llama-3.1-8b-instant,0.6,17,1
llama-3.1-8b-instant,0.6,18,1
llama-3.1-8b-instant,0.6,19,1
llama-3.1-8b-instant,0.6,20,1
llama-3.1-8b-instant,0.6,21,1
llama-3.1-8b-instant,0.6,22,1
llama-3.1-8b-instant,0.6,23,1
llama-3.1-8b-instant,0.6,24,1
llama-3.1-8b-instant,0.6,25,1
llama-3.1-8b-instant,0.6,26,1
llama-3.1-8b-instant,0.6,27,1
llama-3.1-8b-instant,0.6,28,1
llama-3.1-8b-instant,0.6,29,1
llama-3.1-8b-instant,0.8,0,1
llama-3.1-8b-instant,0.8,1,1
llama-3.1-8b-instant,0.8,2,1
llama-3.1-8b-instant,0.8,3,1
llama-3.1-8b-instant,0.8,4,1
llama-3.1-8b-instant,0.8,5,1
llama-3.1-8b-instant,0.8,6,1
llama-3.1-8b-instant,0.8,7,1
llama-3.1-8b-instant,0.8,8,1
llama-3.1-8b-instant,0.8,9,1
llama-3.1-8b-instant,0.8,10,1
llama-3.1-8b-instant,0.8,11,1
llama-3.1-8b-instant,0.8,12,1
llama-3.1-8b-instant,0.8,13,1
llama-3.1-8b-instant,0.8,14,1
llama-3.1-8b-instant,0.8,15,1
llama-3.1-8b-instant,0.8,16,1
llama-3.1-8b-instant,0.8,17,1
llama-3.1-8b-instant,0.8,18,1
llama-3.1-8b-instant,0.8,19,1
llama-3.1-8b-instant,0.8,20,1
llama-3.1-8b-instant,0.8,21,1
llama-3.1-8b-instant,0.8,22,1
llama-3.1-8b-instant,0.8,23,1
llama-3.1-8b-instant,0.8,24,1
llama-3.1-8b-instant,0.8,25,1
llama-3.1-8b-instant,0.8,26,1
llama-3.1-8b-instant,0.8,27,1
llama-3.1-8b-instant,0.8,28,1
llama-3.1-8b-instant,0.8,29,1
llama-3.3-70b-versatile,0.0,0,1
llama-3.3-70b-versatile,0.0,1,1
llama-3.3-70b-versatile,0.0,2,1
llama-3.3-70b-versatile,0.0,3,1
llama-3.3-70b-versatile,0.0,4,1
llama-3.3-70b-versatile,0.0,5,1
llama-3.3-70b-versatile,0.0,6,1
llama-3.3-70b-versatile,0.0,7,1
llama-3.3-70b-versatile,0.0,8,1
llama-3.3-70b-versatile,0.0,9,1
llama-3.3-70b-versatile,0.0,10,1
llama-3.3-70b-versatile,0.0,11,1
llama-3.3-70b-versatile,0.0,12,1
llama-3.3-70b-versatile,0.0,13,1
llama-3.3-70b-versatile,0.0,14,1
llama-3.3-70b-versatile,0.0,15,1
llama-3.3-70b-versatile,0.0,16,1
llama-3.3-70b-versatile,0.0,17,1
llama-3.3-70b-versatile,0.0,18,1
llama-3.3-70b-versatile,0.0,19,1
llama-3.3-70b-versatile,0.0,20,1
llama-3.3-70b-versatile,0.0,21,1
llama-3.3-70b-versatile,0.0,22,1
llama-3.3-70b-versatile,0.0,23,1
llama-3.3-70b-versatile,0.0,24,1
llama-3.3-70b-versatile,0.0,25,1
llama-3.3-70b-versatile,0.0,26,1
llama-3.3-70b-versatile,0.0,27,1
llama-3.3-70b-versatile,0.0,28,1
llama-3.3-70b-versatile,0.0,29,1
llama-3.3-70b-versatile,0.2,0,1
llama-3.3-70b-versatile,0.2,1,1
llama-3.3-70b-versatile,0.2,2,1
llama-3.3-70b-versatile,0.2,3,1
llama-3.3-70b-versatile,0.2,4,1
llama-3.3-70b-versatile,0.2,5,1
llama-3.3-70b-versatile,0.2,6,1
llama-3.3-70b-versatile,0.2,7,1
llama-3.3-70b-versatile,0.2,8,1
llama-3.3-70b-versatile,0.2,9,1
llama-3.3-70b-versatile,0.2,10,1
llama-3.3-70b-versatile,0.2,11,1
llama-3.3-70b-versatile,0.2,12,1
llama-3.3-70b-versatile,0.2,13,1
llama-3.3-70b-versatile,0.2,14,1
llama-3.3-70b-versatile,0.2,15,1
llama-3.3-70b-versatile,0.2,16,1
llama-3.3-70b-versatile,0.2,17,1
llama-3.3-70b-versatile,0.2,18,1
llama-3.3-70b-versatile,0.2,19,1
llama-3.3-70b-versatile,0.2,20,1
llama-3.3-70b-versatile,0.2,21,1
llama-3.3-70b-versatile,0.2,22,1
llama-3.3-70b-versatile,0.2,23,1
llama-3.3-70b-versatile,0.2,24,1
llama-3.3-70b-versatile,0.2,25,1
llama-3.3-70b-versatile,0.2,26,1
llama-3.3-70b-versatile,0.2,27,1
llama-3.3-70b-versatile,0.2,28,1
llama-3.3-70b-versatile,0.2,29,1
llama-3.3-70b-versatile,0.4,0,1
llama-3.3-70b-versatile,0.4,1,1
llama-3.3-70b-versatile,0.4,2,1
llama-3.3-70b-versatile,0.4,3,1
llama-3.3-70b-versatile,0.4,4,1
llama-3.3-70b-versatile,0.4,5,1
llama-3.3-70b-versatile,0.4,6,1
llama-3.3-70b-versatile,0.4,7,1
llama-3.3-70b-versatile,0.4,8,1
llama-3.3-70b-versatile,0.4,9,1
llama-3.3-70b-versatile,0.4,10,1
llama-3.3-70b-versatile,0.4,11,1
llama-3.3-70b-versatile,0.4,12,1
llama-3.3-70b-versatile,0.4,13,1
llama-3.3-70b-versatile,0.4,14,1
llama-3.3-70b-versatile,0.4,15,1
llama-3.3-70b-versatile,0.4,16,1
llama-3.3-70b-versatile,0.4,17,1
llama-3.3-70b-versatile,0.4,18,1
llama-3.3-70b-versatile,0.4,19,1
llama-3.3-70b-versatile,0.4,20,1
llama-3.3-70b-versatile,0.4,21,1
llama-3.3-70b-versatile,0.4,22,1
llama-3.3-70b-versatile,0.4,23,1
llama-3.3-70b-versatile,0.4,24,1
llama-3.3-70b-versatile,0.4,25,1
llama-3.3-70b-versatile,0.4,26,1
llama-3.3-70b-versatile,0.4,27,1
llama-3.3-70b-versatile,0.4,28,1
llama-3.3-70b-versatile,0.4,29,1
llama-3.3-70b-versatile,0.6,0,1
llama-3.3-70b-versatile,0.6,1,1
llama-3.3-70b-versatile,0.6,2,1
llama-3.3-70b-versatile,0.6,3,1
llama-3.3-70b-versatile,0.6,4,1
llama-3.3-70b-versatile,0.6,5,1
llama-3.3-70b-versatile,0.6,6,1
llama-3.3-70b-versatile,0.6,7,1
llama-3.3-70b-versatile,0.6,8,1
llama-3.3-70b-versatile,0.6,9,1
llama-3.3-70b-versatile,0.6,10,1
llama-3.3-70b-versatile,0.6,11,1
llama-3.3-70b-versatile,0.6,12,1
llama-3.3-70b-versatile,0.6,13,1
llama-3.3-70b-versatile,0.6,14,1
llama-3.3-70b-versatile,0.6,15,1
llama-3.3-70b-versatile,0.6,16,1
llama-3.3-70b-versatile,0.6,17,1
llama-3.3-70b-versatile,0.6,18,1
llama-3.3-70b-versatile,0.6,19,1
llama-3.3-70b-versatile,0.6,20,1
llama-3.3-70b-versatile,0.6,21,1
llama-3.3-70b-versatile,0.6,22,1
llama-3.3-70b-versatile,0.6,23,1
llama-3.3-70b-versatile,0.6,24,1
llama-3.3-70b-versatile,0.6,25,1
llama-3.3-70b-versatile,0.6,26,1
llama-3.3-70b-versatile,0.6,27,1
llama-3.3-70b-versatile,0.6,28,1
llama-3.3-70b-versatile,0.6,29,1
llama-3.3-70b-versatile,0.8,0,1
llama-3.3-70b-versatile,0.8,1,1
