model,row_id,rejected
llama-3.1-8b-instant,0,1
llama-3.1-8b-instant,1,1
llama-3.1-8b-instant,2,1
llama-3.1-8b-instant,3,1
llama-3.1-8b-instant,4,1
llama-3.1-8b-instant,5,1
llama-3.1-8b-instant,6,1
llama-3.1-8b-instant,7,1
llama-3.1-8b-instant,8,1
llama-3.1-8b-instant,9,1
llama-3.1-8b-instant,10,1
llama-3.1-8b-instant,11,0
llama-3.1-8b-instant,12,0
llama-3.1-8b-instant,13,1
llama-3.1-8b-instant,14,1
llama-3.1-8b-instant,15,1
llama-3.1-8b-instant,16,1
llama-3.1-8b-instant,17,0
llama-3.1-8b-instant,18,1
llama-3.1-8b-instant,19,1
llama-3.1-8b-instant,20,1
llama-3.1-8b-instant,21,1
llama-3.1-8b-instant,22,1
llama-3.1-8b-instant,23,0
llama-3.1-8b-instant,24,1
llama-3.1-8b-instant,25,0
llama-3.1-8b-instant,26,1
llama-3.1-8b-instant,27,0
llama-3.1-8b-instant,28,0
llama-3.1-8b-instant,29,0
llama-3.3-70b-versatile,0,1
llama-3.3-70b-versatile,1,0
llama-3.3-70b-versatile,2,1
llama-3.3-70b-versatile,3,1
llama-3.3-70b-versatile,4,1
llama-3.3-70b-versatile,5,0
llama-3.3-70b-versatile,6,1
llama-3.3-70b-versatile,7,0
llama-3.3-70b-versatile,8,1
llama-3.3-70b-versatile,9,1
llama-3.3-70b-versatile,10,1
llama-3.3-70b-versatile,11,1
llama-3.3-70b-versatile,12,0
llama-3.3-70b-versatile,13,0
llama-3.3-70b-versatile,14,1
llama-3.3-70b-versatile,15,1
llama-3.3-70b-versatile,16,1
llama-3.3-70b-versatile,17,1
llama-3.3-70b-versatile,18,0
llama-3.3-70b-versatile,19,1
llama-3.3-70b-versatile,20,1
llama-3.3-70b-versatile,21,1
llama-3.3-70b-versatile,22,0
llama-3.3-70b-versatile,23,0
llama-3.3-70b-versatile,24,1
llama-3.3-70b-versatile,25,1
llama-3.3-70b-versatile,26,1
llama-3.3-70b-versatile,27,0
llama-3.3-70b-versatile,28,1
llama-3.3-70b-versatile,29,1
