config_name,relevance_score__mean,relevance_score__mae,utilization_score__mean,utilization_score__mae,completeness_score__mean,completeness_score__mae,adherence_score__mean,adherence_score__mae
techqa_or_v5_hybrid_rrf,0.1321,0.0987,0.0724,0.0603,0.4514,0.5174,0.25,0.4
techqa_or_v4_chunk_sentence,0.4377,0.4123,0.1659,0.1647,0.2614,0.6025,0.55,0.4
techqa_or_v10_hyde_match,0.273,0.2292,0.0833,0.0652,0.2808,0.4716,0.4706,0.5294
techqa_or_v7_stepback,0.3685,0.3265,0.1156,0.0965,0.3103,0.5345,0.3158,0.5263
techqa_or_v6_rerank_only,0.412,0.3781,0.1931,0.1778,0.3655,0.5381,0.2,0.45
techqa_or_v2_hybrid_wsum,0.1361,0.1093,0.0714,0.0687,0.3607,0.5377,0.3,0.45
techqa_or_v3_embed_bge,0.3161,0.259,0.1474,0.1335,0.3309,0.469,0.3918,0.6392
techqa_or_v1_baseline,0.3529,0.2983,0.1572,0.1467,0.3001,0.5108,0.4681,0.5851
techqa_or_v9_bge_sentence,0.5578,0.5266,0.2155,0.2078,0.3161,0.4998,0.4,0.55
techqa_or_v8_best,0.4402,0.3993,0.2203,0.1998,0.4565,0.4468,0.25,0.6
